,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Card Type,Point Earned,dados_churn
55,525,1,0,47,1,118087.68,1,1,0,88120.78,1,3,0,310,1
56,657,2,1,41,8,109402.13,1,1,1,66463.62,0,4,1,988,0
57,730,1,0,33,7,130367.87,1,1,0,15142.1,1,2,1,910,1
58,816,1,0,34,2,108410.87,2,1,0,102908.91,0,4,2,555,0
59,484,0,0,50,2,90408.16,2,0,0,48170.57,0,5,1,959,0
60,728,0,0,34,6,90425.15,2,1,1,11597.69,0,1,3,439,0
61,730,2,0,39,6,140094.59,1,1,0,172450.04,1,4,1,408,1
62,477,2,1,31,9,0.0,2,0,1,184061.17,0,1,3,295,0
63,663,1,0,46,6,95439.4,1,1,1,21038.58,1,4,0,825,1
64,549,1,1,34,6,204017.4,2,1,0,109538.35,0,1,1,872,0
65,714,2,1,29,9,0.0,2,1,0,129192.55,0,3,0,323,0
66,430,1,1,49,3,137115.16,1,1,0,146516.86,1,1,1,404,1
67,504,1,1,43,5,134740.19,2,1,0,181430.91,0,1,3,640,0
68,530,0,0,29,5,0.0,2,0,0,121451.21,0,4,1,696,0
69,619,1,1,29,4,98955.87,1,0,1,131712.51,0,2,3,337,0
70,617,1,1,44,9,49157.09,2,1,0,53294.17,0,3,0,635,0
71,791,1,1,31,1,130240.33,1,0,0,96546.55,0,1,1,608,0
72,609,0,1,48,1,108019.27,3,1,1,184524.65,1,5,2,559,1
73,780,1,1,51,4,126725.25,1,1,0,195259.31,1,3,0,744,1
74,777,1,0,34,5,96693.66,1,1,1,172618.52,0,2,3,971,0
75,817,1,0,27,7,129810.6,1,1,1,59259.44,0,5,3,675,0
76,850,0,1,58,8,156652.13,1,0,0,25899.21,1,3,2,451,1
77,732,0,0,36,9,0.0,1,0,0,3749.0,1,1,3,748,1
78,693,0,1,40,4,130661.96,1,1,1,101918.96,0,3,3,910,0
79,576,0,0,50,8,0.0,2,1,1,57802.62,0,4,2,905,0
80,643,0,1,37,6,0.0,2,0,0,142454.77,0,1,0,604,0
81,757,0,1,47,3,130747.1,1,1,0,143829.54,0,1,3,303,0
82,569,1,1,30,6,106629.49,1,0,1,44114.88,0,4,1,644,0
83,772,2,1,36,3,112029.83,1,1,1,186948.35,0,2,3,776,0
84,576,1,1,29,7,130575.26,1,0,1,173629.78,0,3,2,233,0
85,608,1,1,28,4,96679.71,1,1,1,49133.45,0,3,2,988,0
86,794,0,1,33,0,0.0,2,0,0,178122.71,0,1,0,755,0
87,593,0,1,50,6,171740.69,1,0,0,20893.61,0,4,3,602,0
88,597,2,1,38,1,0.0,2,1,0,41303.29,0,3,0,476,0
89,541,1,0,39,9,100116.67,1,1,1,199808.1,1,2,1,635,1
90,692,1,1,24,2,120596.93,1,0,1,180490.53,0,5,0,466,0
91,697,0,0,48,1,0.0,2,1,1,87400.53,0,5,0,553,0
92,768,0,1,29,2,95984.69,2,1,1,73686.75,0,5,0,631,0
93,802,0,1,38,1,142557.11,1,1,1,172497.73,0,4,0,670,0
94,584,0,1,47,5,0.0,2,1,0,89286.29,0,5,1,343,0
95,614,2,1,66,2,0.0,2,0,1,180082.7,0,5,3,778,0
96,850,1,0,36,6,143644.16,1,1,0,22102.25,1,3,2,728,1
97,671,0,0,38,6,132129.72,1,0,1,76068.95,0,1,3,593,0
98,626,0,0,52,0,0.0,2,1,0,32159.46,1,3,3,959,1
99,770,0,0,68,2,183555.24,1,0,0,159557.28,1,5,2,561,1
100,633,0,1,38,2,91902.56,2,1,1,107673.35,0,5,1,913,0
101,663,0,1,40,6,156218.19,1,0,1,33607.72,0,5,3,375,0
102,581,1,0,43,5,93259.57,3,1,0,141035.65,1,5,0,276,1
103,561,1,0,45,2,168085.38,2,0,1,115719.08,0,4,1,998,0
104,479,1,1,51,1,107714.74,3,1,0,86128.21,1,2,0,451,1
105,769,0,0,31,6,117852.26,2,1,0,147668.64,0,5,0,533,0
106,659,2,1,60,2,0.0,1,1,0,177480.45,1,2,1,365,1
107,590,2,0,51,10,84474.62,2,1,1,190937.09,0,3,2,690,0
108,560,0,1,50,3,0.0,2,1,0,84531.79,0,2,3,308,0
109,437,1,1,35,6,126803.34,2,1,1,161133.4,0,3,0,628,0
110,661,0,0,34,0,0.0,2,1,0,185555.63,0,5,3,996,0
111,677,1,0,36,10,68806.84,1,1,0,33075.24,0,3,1,772,0
112,560,0,0,31,3,115141.18,1,1,0,39806.75,0,5,3,558,0
113,578,0,0,35,2,0.0,2,0,1,26389.92,0,1,3,579,0
114,421,2,1,34,6,90723.36,1,1,1,12162.76,0,5,1,417,0
115,492,1,0,49,2,151249.45,2,1,1,167237.94,0,4,1,543,0
116,545,0,0,32,6,0.0,2,1,1,52067.37,0,5,3,277,0
117,640,1,0,43,9,94752.49,1,1,0,184006.36,1,4,0,523,1
118,624,2,0,34,6,0.0,1,1,0,582.59,1,5,2,468,1
119,577,2,1,28,7,0.0,1,1,0,143274.41,0,2,3,987,0
120,704,0,1,31,5,132084.66,3,1,1,54474.48,1,4,0,246,1
121,523,0,1,45,5,0.0,2,1,1,121428.2,0,2,3,386,0
122,793,0,1,35,2,0.0,2,1,1,79704.12,0,4,0,347,0
123,564,0,0,53,2,45472.28,1,1,1,41055.71,1,5,2,286,1
124,711,0,1,33,1,0.0,1,0,0,41590.4,0,3,3,824,0
125,791,1,0,33,10,130229.71,2,0,0,54019.93,1,1,2,414,1
126,629,1,0,38,9,123948.85,1,1,0,76053.07,0,5,0,564,0
127,729,1,1,39,6,127415.85,1,1,1,184977.2,1,3,3,902,1
128,651,1,1,35,8,110067.71,1,1,0,127678.95,1,2,1,689,1
129,695,2,1,39,4,65521.2,1,1,1,1243.97,0,5,2,494,0
130,847,2,1,31,5,0.0,2,1,1,76326.67,0,4,3,791,0
131,704,0,1,47,5,0.0,2,1,1,145338.61,0,4,1,308,0
132,613,1,1,33,3,155736.42,2,1,1,57751.21,0,4,2,633,0
133,692,2,0,29,4,0.0,2,0,0,138880.24,0,2,0,983,0
134,720,0,0,34,3,118307.57,2,1,1,136120.29,0,2,1,410,0
135,577,0,1,41,6,0.0,1,1,1,167621.18,0,2,0,545,0
136,710,1,0,24,7,103099.17,2,1,0,173276.62,0,1,0,621,0
137,716,0,0,38,1,0.0,2,1,1,99661.46,0,2,0,266,0
138,410,0,1,33,6,125789.69,1,0,0,66333.56,1,3,0,816,1
139,584,1,0,36,4,109646.83,1,1,1,70240.79,0,1,3,990,0
140,792,0,1,30,1,127187.86,1,1,1,113553.42,0,3,3,921,0
141,605,0,0,36,6,0.0,1,0,1,690.84,0,4,0,373,0
142,486,2,1,24,1,0.0,1,1,0,98802.76,0,5,0,937,0
143,615,0,1,41,4,130385.82,1,0,1,130661.95,0,2,3,448,0
144,676,0,1,23,1,107787.47,1,0,1,116378.82,0,5,3,597,0
145,571,0,1,34,1,99325.04,2,0,1,186052.15,0,3,0,922,0
146,850,0,0,37,9,0.0,1,0,0,100101.06,0,5,0,814,0
147,717,0,1,48,7,123764.95,1,1,1,169952.82,0,5,0,652,0
148,642,1,0,39,8,128264.03,1,1,0,61792.76,1,1,1,280,1
149,780,2,1,47,7,86006.21,1,1,1,37973.13,0,1,0,348,0
150,492,1,0,38,8,57068.43,2,1,0,188974.81,0,3,2,914,0
151,760,1,1,29,5,103607.24,2,0,1,86334.64,0,2,1,588,0
152,500,2,1,40,1,99004.24,1,1,1,152845.99,0,5,1,481,0
153,654,2,0,36,2,0.0,2,1,1,146652.11,0,1,2,576,0
154,606,2,0,25,3,147386.72,3,1,0,45482.04,1,5,3,405,1
155,367,2,1,42,6,93608.28,1,1,0,168816.73,1,3,2,592,1
156,799,2,1,38,2,0.0,2,1,1,59297.34,0,1,0,780,0
157,434,1,1,71,9,119496.87,1,1,0,125848.88,0,3,3,690,0
158,719,2,0,32,7,0.0,1,0,0,76264.27,0,3,2,677,0
159,641,0,0,37,2,0.0,2,1,0,3939.87,0,2,3,512,0
160,461,2,0,25,6,0.0,2,1,1,15306.29,0,1,2,539,0
161,790,1,0,25,5,152885.77,1,1,0,58214.79,0,4,3,938,0
162,588,0,1,31,4,99607.37,2,0,1,35877.03,0,2,0,842,0
163,621,0,1,27,4,137003.68,1,1,0,21254.06,0,4,3,609,0
164,768,1,1,48,3,122831.58,1,1,1,24533.89,1,2,2,813,1
165,681,2,1,38,2,99811.44,2,1,0,23531.5,0,1,0,568,0
166,606,2,1,37,8,154712.58,2,1,0,89099.18,0,5,0,577,0
167,542,2,1,37,8,0.0,1,1,1,807.06,0,3,1,842,0
168,713,1,0,24,7,147687.24,1,1,1,121592.5,0,2,0,306,0
169,597,2,0,33,2,0.0,2,1,1,4700.66,0,3,1,955,0
170,635,0,1,27,3,127009.83,1,1,0,161909.95,0,1,1,686,0
171,599,1,1,61,1,124737.96,1,0,1,90389.61,1,3,2,914,1
172,496,2,0,44,0,179356.28,2,1,0,2919.21,1,1,2,326,1
173,759,2,1,31,8,0.0,2,1,1,99086.74,0,3,2,451,0
174,757,1,1,31,1,127320.36,3,1,0,163170.32,0,5,2,892,0
175,564,2,1,31,0,125175.58,1,1,1,72757.33,0,5,0,572,0
176,561,0,0,22,6,186788.96,2,1,0,73286.8,0,5,3,964,0
177,702,0,1,40,3,148556.74,1,0,1,146056.29,0,2,3,489,0
178,678,1,0,40,8,128644.46,1,0,0,167673.37,0,2,1,751,0
179,707,0,0,46,7,127476.73,2,1,1,146011.55,0,4,3,278,0
180,610,0,0,27,9,159561.93,1,0,1,103381.47,0,3,0,513,0
181,744,0,1,42,1,112419.92,1,1,1,83022.92,0,3,3,367,0
182,598,0,1,28,8,129991.76,2,0,1,46041.08,0,3,3,573,0
183,562,2,1,36,5,0.0,1,0,1,182843.24,0,5,0,615,0
184,621,2,0,59,2,0.0,2,1,1,171364.18,0,4,2,740,0
185,659,0,0,50,3,0.0,1,1,0,183399.12,1,5,2,818,1
186,722,1,0,40,6,89175.06,2,0,1,152883.95,0,4,2,984,0
187,606,0,0,39,3,0.0,2,1,0,50560.45,1,2,1,612,1
188,603,2,0,39,5,162390.52,2,1,0,54702.66,0,5,1,293,0
189,506,1,0,59,3,190353.08,1,1,0,78365.75,0,4,2,797,0
190,715,0,1,21,8,0.0,2,1,0,68666.63,0,2,2,827,0
191,690,0,1,47,2,0.0,2,1,0,151375.73,0,2,2,289,0
192,644,0,0,40,10,139180.97,1,1,1,19959.67,0,3,2,898,0
193,589,0,1,36,8,114435.47,1,1,0,26955.72,0,5,3,688,0
194,592,0,0,66,5,149950.19,1,1,1,76267.59,0,4,0,404,0
195,632,0,1,42,4,126115.6,1,1,0,100998.5,0,2,1,572,0
196,577,1,0,59,7,111396.97,1,0,1,191070.01,0,5,3,583,0
197,588,0,1,30,3,115007.08,1,0,0,176858.5,0,1,2,572,0
198,617,0,1,54,6,102141.9,1,1,1,45325.26,0,4,2,746,0
199,668,2,0,36,3,133686.52,1,1,0,190958.48,1,3,0,668,1
200,810,0,1,32,9,120879.73,2,0,1,78896.59,0,2,2,578,0
201,767,2,1,47,5,0.0,1,1,0,121964.46,1,5,1,273,1
202,718,2,0,49,10,82321.88,1,0,1,11144.4,0,3,3,843,0
203,589,2,0,27,4,0.0,2,1,0,144181.48,0,2,1,908,0
204,778,2,1,33,5,116474.28,2,1,1,32757.55,0,2,1,445,0
205,724,0,0,34,3,132352.69,1,1,0,80320.3,0,4,0,798,0
206,477,1,0,39,4,182491.57,1,1,0,185830.72,0,3,3,333,0
207,580,0,1,34,6,0.0,2,1,1,160095.31,0,5,0,721,0
208,566,2,1,63,2,120787.18,2,1,1,52198.84,0,4,3,803,0
209,711,0,0,29,3,130181.47,2,1,0,31811.44,0,5,3,719,0
210,706,1,1,32,5,88348.43,2,1,1,104181.78,0,2,3,641,0
211,703,2,1,31,6,0.0,2,1,1,67667.19,0,3,2,975,0
212,679,1,1,39,2,146186.28,2,1,1,193974.47,0,4,3,412,0
213,603,0,1,32,7,0.0,1,1,0,198055.94,1,3,3,642,1
214,598,2,1,34,0,104488.17,1,0,1,43249.67,0,5,3,547,0
215,836,1,0,32,4,109196.67,2,1,0,55218.02,0,4,0,246,0
216,687,0,0,61,7,80538.56,1,1,0,131305.37,1,4,0,274,1
217,704,1,1,41,4,109026.8,2,1,1,43117.1,0,2,0,345,0
218,605,1,1,75,2,61319.63,1,0,1,186655.11,0,2,3,470,0
219,516,0,0,40,9,0.0,2,0,1,33266.29,0,2,2,693,0
220,572,0,0,39,2,0.0,2,1,1,555.28,0,5,2,967,0
221,557,0,1,42,6,177822.03,1,1,0,150944.31,1,3,2,513,1
222,443,1,1,59,4,110939.3,1,1,0,72846.58,1,5,2,304,1
223,604,1,1,25,7,165413.43,1,1,1,35279.74,0,2,3,616,0
224,483,0,1,27,1,77805.66,1,1,1,2101.89,0,2,2,279,0
225,702,0,1,50,3,0.0,2,0,0,94949.84,0,4,1,726,0
226,670,2,0,57,3,175575.95,2,1,0,99061.75,1,5,0,843,1
227,804,2,0,38,3,124197.22,1,1,0,74692.06,0,2,2,271,0
228,850,0,0,30,3,0.0,2,1,0,116692.8,0,5,3,451,0
229,554,0,0,39,10,160132.75,1,1,0,32824.15,0,5,1,981,0
230,588,1,0,37,7,70258.88,2,1,0,139607.61,0,2,0,258,0
231,758,1,1,32,4,162657.64,2,1,1,115525.13,0,2,1,708,0
232,787,1,1,43,0,132217.45,1,1,0,20955.03,1,2,0,314,1
233,582,2,1,25,9,148042.97,2,1,0,52341.15,0,5,0,310,0
234,633,2,0,33,4,92855.02,1,1,1,159813.18,0,3,3,804,0
235,766,1,1,47,9,129289.98,1,1,0,169935.46,1,4,2,286,1
236,564,2,1,37,9,100252.18,1,1,1,146033.52,0,3,2,500,0
237,602,2,1,37,3,107592.89,2,0,1,153122.73,0,3,1,493,0
238,649,0,1,39,3,113096.41,1,1,1,60335.24,0,5,2,946,0
239,679,2,0,40,7,0.0,2,1,1,163757.29,0,2,1,610,0
240,639,2,1,34,7,149940.04,2,0,0,156648.81,0,2,1,938,0
241,790,1,1,50,8,121438.58,1,1,1,176471.78,1,4,1,352,1
242,565,0,1,32,9,0.0,2,1,0,5388.3,0,5,0,887,0
243,478,0,0,50,2,0.0,1,0,1,93332.64,1,4,1,339,1
244,825,0,1,29,3,148874.01,2,0,1,71192.82,0,3,0,346,0
245,528,2,0,32,0,68138.37,1,1,1,170309.19,0,2,3,871,0
246,577,2,1,35,5,110080.3,1,1,1,109794.31,0,4,2,407,0
247,663,0,1,24,7,0.0,2,1,1,166310.82,0,4,2,943,0
248,505,1,0,25,5,114268.85,2,1,1,126728.27,0,2,3,943,0
249,633,1,1,29,6,117412.35,1,0,0,30338.94,0,4,3,341,0
250,586,0,0,38,6,0.0,2,1,1,37935.83,0,4,2,252,0
251,850,0,0,35,9,0.0,2,0,0,25329.48,0,1,3,998,0
252,629,1,0,37,1,35549.81,2,0,0,49676.33,0,3,2,649,0
253,744,0,1,56,9,0.0,2,1,1,169498.61,0,4,3,730,0
254,750,0,1,36,7,136492.92,3,1,1,26500.29,1,3,2,635,1
255,637,1,1,28,3,123675.69,1,1,1,166458.41,0,4,0,711,0
256,575,0,0,40,1,139532.34,1,1,0,181294.39,0,2,3,319,0
257,671,2,1,58,1,178713.98,1,1,1,21768.21,0,4,3,953,0
258,571,0,1,40,5,0.0,2,0,0,72849.29,0,2,3,557,0
259,590,0,1,41,1,89086.31,1,1,0,24499.97,0,3,1,513,0
260,619,2,1,38,3,96143.47,1,0,0,98994.92,0,3,0,759,0
261,640,1,0,30,5,32197.64,1,0,1,141446.01,0,4,1,460,0
262,670,0,1,38,7,0.0,2,1,1,77864.41,0,1,1,794,0
263,737,0,0,33,4,0.0,2,1,0,115115.32,0,2,3,270,0
264,555,2,1,32,10,0.0,2,0,1,168605.96,0,4,1,606,0
265,742,0,1,33,6,0.0,2,0,0,38550.4,0,3,2,324,0
266,618,1,0,40,0,140306.38,1,1,0,160618.61,1,4,2,878,1
267,560,0,0,35,1,0.0,2,1,0,3701.63,0,5,0,901,0
268,654,0,1,38,8,0.0,2,1,0,88659.44,0,4,0,605,0
269,787,1,0,42,2,74483.97,2,0,1,44273.91,0,3,1,569,0
270,611,0,0,53,7,0.0,2,0,1,156495.39,1,1,1,843,1
271,559,2,1,34,0,0.0,1,1,0,182988.94,0,3,1,472,0
272,481,0,1,37,8,152303.66,2,1,1,175082.2,0,1,2,517,0
273,753,1,1,32,5,159904.79,1,1,0,148811.14,0,1,1,767,0
274,675,0,1,32,1,0.0,3,1,0,85901.09,0,5,2,890,0
275,748,1,0,31,1,99557.94,1,1,0,199255.32,0,1,0,425,0
276,610,2,0,46,5,116886.59,1,0,0,107973.44,0,1,1,452,0
277,580,2,1,32,9,142188.2,2,0,1,128028.6,0,3,0,332,0
278,624,1,0,40,3,149961.99,2,1,0,104610.86,0,2,2,576,0
279,709,0,0,36,8,0.0,2,1,1,69676.55,0,3,2,829,0
280,605,0,0,34,2,0.0,1,0,0,35982.42,0,2,3,723,0
281,706,2,1,53,7,0.0,2,0,1,117939.17,0,2,0,840,0
282,567,2,1,40,8,28649.64,1,1,1,95140.62,0,2,3,488,0
283,747,0,0,21,4,81025.6,2,1,0,167682.57,0,1,3,463,0
284,664,0,1,57,1,0.0,2,1,1,56562.57,0,3,2,910,0
285,711,0,0,39,3,152462.79,1,1,0,90305.97,0,5,2,851,0
286,609,0,1,25,10,0.0,1,0,1,109895.16,0,2,2,652,0
287,632,2,1,28,7,155519.59,1,1,0,1843.24,0,5,2,557,0
288,725,0,0,36,1,118851.05,1,1,1,102747.02,0,3,3,787,0
289,850,0,0,34,9,92899.27,2,1,0,97465.89,0,4,3,783,0
290,682,0,1,40,4,0.0,1,0,1,105352.55,0,1,0,334,0
291,797,0,1,37,4,75263.7,1,1,0,85801.77,0,4,2,300,0
292,668,2,1,38,1,147904.31,1,1,1,69370.05,0,3,3,502,0
293,783,1,0,41,5,106640.5,1,1,0,176945.96,0,5,2,498,0
294,766,1,0,28,4,90696.78,1,0,1,21597.2,0,1,2,599,0
295,704,2,0,36,2,175509.8,2,1,0,152039.67,0,3,2,397,0
296,722,0,1,40,6,0.0,2,1,1,111893.09,0,2,1,846,0
297,692,0,0,34,7,0.0,2,1,0,195074.62,0,1,0,427,0
298,584,0,0,35,2,114321.28,2,0,0,15959.01,0,3,0,855,0
299,644,1,0,51,4,95560.04,1,0,0,72628.84,1,1,2,672,1
300,598,1,0,50,5,88379.81,3,0,1,64157.24,1,5,0,746,1
301,733,1,1,48,7,85915.52,1,1,1,23860.5,0,2,1,857,0
302,615,1,1,58,3,72309.3,1,1,1,85687.09,1,3,1,648,1
303,850,0,0,39,2,0.0,2,1,0,179451.42,0,2,1,732,0
304,521,0,1,43,8,0.0,1,1,1,93180.09,0,2,2,400,0
305,675,0,1,69,1,0.0,2,1,0,157097.09,0,2,0,526,0
306,746,0,1,58,3,0.0,3,1,1,80344.96,1,3,3,488,1
307,770,0,0,33,4,0.0,1,1,0,26080.54,1,4,0,577,1
308,618,0,1,30,3,133844.22,1,1,1,31406.93,0,5,1,422,0
309,556,0,1,36,7,154872.08,2,1,1,32044.64,0,2,1,554,0
310,749,0,0,27,9,0.0,2,1,0,132734.87,0,4,2,739,0
311,702,2,1,43,6,116121.67,1,1,0,61602.42,0,2,0,488,0
312,555,1,1,42,6,107104.5,1,1,1,41304.44,1,4,2,824,1
313,587,0,1,47,6,71026.77,1,1,0,57962.41,0,1,2,678,0
314,639,0,1,38,3,0.0,1,1,0,42862.82,0,1,3,600,0
315,643,0,1,33,4,0.0,2,1,1,152992.04,0,2,2,720,0
316,600,0,0,41,1,0.0,2,1,1,91193.65,0,4,2,467,0
317,651,0,1,53,7,0.0,2,1,1,130132.41,0,1,0,284,0
318,666,0,0,27,4,0.0,2,0,0,88751.45,0,1,0,818,0
319,520,0,0,39,6,145644.05,1,0,0,104118.93,0,3,2,467,0
320,650,2,0,50,7,129667.77,1,0,0,42028.16,0,5,2,485,0
321,564,1,1,33,3,109341.87,1,1,0,75632.78,0,5,3,422,0
322,586,0,1,64,1,0.0,2,1,1,53710.23,0,1,0,794,0
323,617,0,0,35,5,0.0,2,0,1,13066.3,0,4,2,882,0
324,712,2,0,30,6,0.0,2,1,0,152417.97,0,4,2,472,0
325,654,0,1,55,3,87485.67,1,1,1,3299.01,0,3,0,668,0
326,605,0,1,27,9,0.0,2,1,0,198091.81,0,3,2,580,0
327,491,0,0,36,0,53369.13,1,1,1,103934.12,0,1,1,540,0
328,707,0,0,35,9,0.0,2,1,1,70403.65,0,2,3,860,0
329,638,2,1,34,5,146679.77,1,1,0,102179.86,0,5,0,790,0
330,683,0,1,43,2,112499.42,2,1,0,30375.18,0,1,3,469,0
331,815,2,0,38,2,48387.0,1,1,0,184796.84,0,3,0,243,0
332,645,2,1,38,1,68079.8,1,0,1,166264.89,0,1,2,746,0
333,645,1,1,49,4,160133.88,1,0,1,88391.97,0,4,1,720,0
334,683,0,1,30,4,66190.33,1,1,1,115186.97,0,4,3,823,0
335,705,0,0,37,10,0.0,2,1,1,13935.53,1,3,1,931,1
336,647,0,1,35,4,123761.68,1,1,0,83910.4,0,4,2,713,0
337,786,1,0,33,0,122325.58,1,0,0,34712.34,1,5,2,629,1
338,534,0,1,41,9,0.0,2,1,0,13871.34,0,2,0,222,0
339,602,2,0,42,1,138912.17,1,1,1,139494.75,0,1,1,759,0
340,695,0,0,42,0,0.0,2,0,1,140724.64,0,1,2,875,0
341,553,1,0,25,7,128524.19,2,1,0,20682.46,0,5,2,941,0
342,516,2,0,31,3,0.0,2,1,0,124202.26,0,1,3,413,0
343,655,0,0,34,3,0.0,2,1,0,159638.77,0,1,0,508,0
344,849,1,0,49,9,132934.89,1,1,0,171056.65,1,4,1,285,1
345,520,1,1,43,3,150805.17,3,0,1,25333.03,1,2,1,857,1
346,568,2,0,46,3,0.0,2,1,1,29372.62,0,5,0,446,0
347,695,2,1,32,9,0.0,3,0,1,38533.79,0,4,1,475,0
348,807,2,0,28,7,165969.26,3,1,0,156122.13,1,5,2,255,1
349,642,1,0,36,2,124495.98,3,1,1,57904.22,1,1,2,508,1
350,703,1,1,39,1,141559.5,1,1,1,31257.1,1,2,1,589,1
351,556,0,1,38,2,114756.14,1,1,0,193214.05,0,4,0,820,0
352,585,0,0,30,6,0.0,2,1,1,137757.69,0,5,2,874,0
353,587,1,0,49,7,155393.98,2,1,0,13308.2,1,1,0,318,1
354,524,2,0,32,6,0.0,1,1,1,132861.9,1,4,2,373,1
355,556,1,0,31,1,128663.81,2,1,0,125083.29,0,4,2,876,0
356,504,2,1,44,4,113522.64,1,1,1,12405.2,0,1,3,947,0
357,731,2,0,26,3,0.0,2,1,0,37697.29,0,5,0,271,0
358,651,0,1,34,3,0.0,2,1,1,105599.65,0,5,3,632,0
359,675,2,0,40,8,79035.95,1,1,0,142783.98,1,5,1,481,1
360,657,2,0,22,6,0.0,3,0,1,168412.07,1,5,0,974,1
361,686,1,1,33,9,141918.09,2,0,1,184036.47,0,4,1,976,0
362,690,0,0,35,9,107944.33,2,0,0,48478.47,0,5,1,469,0
363,567,0,1,36,7,0.0,2,0,1,3896.08,0,5,1,914,0
364,557,1,1,57,1,120043.13,1,1,0,132370.75,1,1,1,954,1
365,446,2,0,45,10,125191.69,1,1,1,128260.86,1,5,3,584,1
366,850,0,1,31,1,96399.31,2,1,0,106534.15,0,5,2,318,0
